,title,year,rating,votes
138,127 Hours,2010,7.6,"339,491"
139,Miss Congeniality,2000,6.2,"180,880"
140,Days of Thunder,1990,6.0,"76,305"
141,Forgetting Sarah Marshall,2008,7.1,"256,536"
142,Truth or Dare,2018,5.2,"42,890"
143,Swiss Family Robinson,1960,7.2,"13,546"
144,Frances Ha,2012,7.5,"69,448"
145,Hold the Dark,2018,5.6,"31,431"
146,Kiss Kiss Bang Bang,2005,7.5,"209,731"
147,Valley Girl,1983,6.4,"12,682"
148,Intolerable Cruelty,2003,6.2,"88,901"
149,The Longest Day,1962,7.8,"51,041"
150,The Man with the Golden Arm,1955,7.4,"9,415"
151,Six Days Seven Nights,1998,5.8,"71,134"
152,"As Above, So Below",2014,6.2,"72,668"
153,Nerve,2016,6.5,"111,008"
154,22 Jump Street,2014,7.0,"336,363"
155,Annie,1982,6.6,"38,589"
156,Death at a Funeral,2007,7.4,"106,929"
157,Star Trek II: The Wrath of Khan,1982,7.7,"109,782"
158,Shrek the Third,2007,6.1,"271,877"
159,Brothers,2009,7.1,"108,288"
160,The Best of Me,2014,6.7,"63,809"
161,The Professor,2018,6.7,"19,342"
162,Fun with Dick and Jane,2005,6.2,"131,177"
163,The Final Girls,2015,6.6,"32,760"
164,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,7.3,"344,199"
165,Man on a Ledge,2012,6.6,"142,518"
166,Better Watch Out,2016,6.5,"27,472"
167,Hairspray,1988,6.9,"19,262"
168,Deja Vu,2006,7.0,"286,763"
169,A Fall from Grace,2020,5.8,"9,339"
170,The Duchess,2008,6.9,"76,249"
171,Spectral,2016,6.3,"49,064"
172,I Spit on Your Grave,1978,5.7,"25,193"
173,October Sky,1999,7.8,"79,139"
174,The Glass Castle,2017,7.1,"27,523"
175,The Darjeeling Limited,2007,7.2,"175,030"
176,The Snowman,2017,5.1,"55,518"
177,UglyDolls,2019,4.9,"4,892"
178,A Most Wanted Man,2014,6.8,"70,633"
179,Piranha 3DD,2012,3.7,"38,927"
180,Pride,2014,7.8,"49,723"
181,Never Back Down,2008,6.6,"93,970"
182,State of Play,2009,7.1,"131,748"
183,The Saint,1997,6.2,"60,826"
184,Shane,1953,7.6,"35,745"
185,Death Wish,1974,7.0,"34,298"
186,Heavyweights,1995,6.6,"24,409"
187,How to Be Single,2016,6.1,"78,788"
188,The Boss Baby,2017,6.3,"103,642"
189,D2: The Mighty Ducks,1994,6.1,"35,200"
190,Plus One,2019,6.6,"5,935"
191,The Nutcracker and the Four Realms,2018,5.5,"26,235"
192,Vox Lux,2018,5.9,"14,846"
193,Bedknobs and Broomsticks,1971,7.1,"33,007"
194,10,1979,6.1,"14,747"
195,The Frozen Ground,2013,6.4,"55,052"
196,Destroyer,2018,6.2,"22,789"
197,James and the Giant Peach,1996,6.7,"58,480"
198,The Last Castle,2001,7.0,"68,806"
199,Dear John,2010,6.3,"135,118"
200,Slither,2006,6.4,"72,203"
201,Glengarry Glen Ross,1992,7.7,"92,827"
202,Disclosure,1994,6.1,"45,027"
203,Filth,2013,7.1,"98,536"
204,Carmen Jones,1954,6.8,"4,412"
205,P.S. I Love You,2007,7.0,"197,071"
206,The Thomas Crown Affair,1999,6.8,"84,847"
207,Lifeforce,1985,6.1,"21,468"
208,We Bought a Zoo,2011,7.1,"131,571"
209,The Vow,2012,6.8,"180,216"
210,Blue Ruin,2013,7.1,"63,741"
211,Mechanic: Resurrection,2016,5.7,"73,361"
212,Dirty Rotten Scoundrels,1988,7.4,"62,587"
213,Friday the 13th: The Final Chapter,1984,6.0,"42,762"
214,Ned Kelly,2003,6.5,"25,143"
215,Girls Trip,2017,6.2,"32,703"
216,Sabrina,1954,7.7,"56,938"
217,Love Story,1970,6.9,"29,143"
218,Galveston,2018,6.2,"10,332"
219,A Perfect Murder,1998,6.5,"76,865"
220,Evan Almighty,2007,5.4,"136,402"
221,Dreamgirls,2006,6.5,"66,999"
222,3022,2019,4.5,"2,440"
223,Fiddler on the Roof,1971,8.0,"37,637"
224,Jersey Boys,2014,6.8,"32,033"
225,Children of the Corn,1984,5.7,"45,623"
226,Evolution,2001,6.1,"117,237"
227,Cell,2016,4.3,"24,249"
228,Rogue Warfare,2019,2.7,764
229,The Night of the Hunter,1955,8.0,"79,158"
230,The Game Plan,2007,6.1,"56,937"
231,Pinocchio,1940,7.4,"125,981"
232,Drillbit Taylor,2008,5.7,"57,126"
233,Nanny McPhee Returns,2010,6.1,"27,097"
234,Marley & Me,2008,7.1,"143,050"
235,High School Musical 3,2008,4.8,"56,157"
236,Lord of the Flies,1990,6.4,"27,147"
237,Sliding Doors,1998,6.7,"61,740"
238,The Interpreter,2005,6.4,"95,613"
239,The Edge,1997,6.9,"66,163"
240,Friday the 13th: A New Beginning,1985,4.8,"32,185"
241,Queen of the Damned,2002,5.3,"51,402"
242,Basic Instinct 2,2006,4.3,"36,583"
243,The Dead Pool,1988,6.3,"39,259"
244,Crown Vic,2019,6.4,"2,423"
245,Maniac,2012,6.1,"34,218"
246,The Woman,2011,6.0,"21,223"
247,Beyond Skyline,2017,5.3,"17,332"
248,Badlands,1973,7.8,"62,976"
249,Money Monster,2016,6.5,"91,678"
250,Daddy Day Care,2003,5.6,"62,042"
251,The Angry Birds Movie,2016,6.3,"77,221"
252,The Color of Money,1986,7.0,"71,979"
253,The Clovehitch Killer,2018,6.5,"14,748"
254,Disturbing Behavior,1998,5.7,"20,401"
255,Son of the Mask,2005,2.2,"51,234"
256,Dave,1993,6.8,"47,664"
257,"Hush...Hush, Sweet Charlotte",1964,7.6,"12,279"
258,Thirteen Days,2000,7.3,"52,642"
259,Outlander,2008,6.2,"70,746"
260,Joe Versus the Volcano,1990,5.8,"33,564"
261,Adventureland,2009,6.8,"150,085"
262,Ben-Hur,2016,5.7,"40,415"
263,John Q,2002,7.1,"120,281"
264,My Days of Mercy,2017,6.4,"2,448"
265,Pete's Dragon,1977,6.4,"21,700"
266,The Last Boy Scout,1991,7.0,"90,332"
