,title,year,rating,votes
8432,The Dolls,2017,5.7,10
8433,Scandal Sheet,1931,7.3,63
8434,Teen Age,1943,4.3,7
8435,RiffTrax Live: Krull,2018,8.5,30
8436,The Robert Cake,2002,6.4,12
8437,The Walls Have Eyes,1969,3.8,64
8438,Crimson Romance,1934,5.4,128
8439,No Time to Be Young,1957,6.6,43
8440,Round-Up Time in Texas,1937,5.0,166
8441,White Girl Young Pretty,2004,8.2,6
8442,Marshal of Reno,1944,7.1,49
8443,Zombie Dream,2015,3.0,27
8444,General Massacre,1973,4.5,28
8445,House of Grimm,2005,6.5,22
8446,The Killing Machines,2007,6.5,6
8447,Jess,1912,5.9,15
8448,Reverie,2009,7.9,28
8449,Jaguar,1956,5.5,33
8450,Regeneration,1923,4.8,48
8451,Geek War,2010,6.0,29
8452,Cinematic Titanic: Rattlers,2012,7.7,86
8453,Bloodmarsh Krackoon,2013,4.2,48
8454,Spree,1996,5.0,45
8455,Hold,2009,6.9,40
8456,Playthings of Desire,1933,5.2,10
8457,Law and Order,1942,6.1,29
8458,Randy Fabert's Psycho Killer,2012,7.1,34
8459,Lover Come Back,1931,7.1,10
8460,Thunderbolt Jack,1920,5.6,12
8461,"Winesburg, Ohio",2008,6.7,6
8462,Hope Cafe,2013,7.0,107
8463,The Garbage Man,1996,6.9,47
8464,Moo Moo and the Three Witches,2015,3.2,41
8465,Joy de V.,2013,6.0,24
8466,Unspoken Words,2014,6.7,12
8467,Calliope,1971,5.1,7
8468,Ghost Stories: Unmasking the Dead,2008,4.6,29
8469,The Girl in Room 20,1946,4.9,36
8470,The Curtain Falls,1934,6.2,26
8471,I Thought You Finally Completely Lost It,2008,4.8,44
8472,King Solomon of Broadway,1935,5.1,10
8473,Wine of Morning,1955,5.8,55
8474,MURDER and murder,1996,6.9,47
8475,The Rake,2011,4.5,13
8476,The Go Getter,1937,6.5,171
8477,Colorado Pioneers,1945,6.9,28
8478,Dust of Life,2006,8.7,16
8479,The Final Shift,2012,5.0,25
8480,Jake's Dead,2013,7.4,11
8481,Rock Steady,2002,3.5,83
8482,Dying to Meet You,1997,4.5,20
8483,Honor of the West,1939,2.8,10
8484,"Chick Carter, Detective",1946,6.2,27
8485,Outlaw Gold,1950,5.9,22
8486,Trakked,2015,5.0,27
8487,Panopticon,2015,6.8,21
8488,Idea Girl,1946,6.1,10
8489,Nothing Special,2010,4.4,204
8490,Unnaturally Born Killers,1996,2.5,54
8491,Little Indiscretions,1999,5.9,49
8492,The Signs of the Cross,2005,8.3,26
8493,Blazing Barriers,1937,5.2,33
8494,The Sublet,2008,7.3,38
8495,"Madness, Farewell",2018,6.5,18
8496,Shine Baby Shine,2010,7.6,11
8497,Stage Struck,1948,6.0,78
8498,Popovich and the Voice of the Fabled American West,2014,8.1,41
8499,A Public Affair,1962,6.8,14
8500,An Affair of the Skin,1963,6.7,45
8501,Tell It Like It Is,1971,2.7,17
8502,The Valley of the Moon,1914,6.9,7
8503,The Sword,2009,5.3,16
8504,Caught in the Fog,1928,7.3,10
8505,She Was So Pretty,2016,3.8,163
8506,The Goodbye Bird,1993,5.6,112
8507,Godass,2000,5.7,49
8508,The Turmoil,1924,6.4,9
8509,Ophelia Learns to Swim,2001,5.3,35
8510,Auld Lang Syne,2016,5.0,42
8511,The Girl in Number 29,1920,3.0,23
8512,Blessing,1994,6.1,40
8513,Tabloid Vivant,2016,6.8,77
8514,1988: The Remake,1977,3.9,16
8515,The Lone Rider Fights Back,1941,5.4,28
8516,The Giving,1992,6.6,12
8517,Dancing in the Forest,1989,4.6,14
8518,Deep River,2009,5.8,13
8519,Infinite Santa 8000,2013,5.6,40
8520,Squatters,2014,2.9,12
8521,Flames,1932,5.5,32
8522,The Vigilante,2010,2.3,11
8523,Sleepy Lagoon,1943,6.8,30
8524,Yukon Vengeance,1954,6.0,21
8525,Cannibals of Carnage,2014,8.0,5
8526,A Gangster's Word,2013,5.3,29
8527,Frisco Tornado,1950,6.4,58
8528,Nude in Charcoal,1961,5.6,5
8529,The First Stone,1993,5.9,32
8530,Sixes and the One Eyed King,2006,7.7,39
8531,Streets of Ghost Town,1950,6.2,94
8532,Code of the Streets,1939,5.5,23
8533,Sniper's Ridge,1961,5.8,105
8534,The Lady Escapes,1937,5.9,40
8535,Oracle,2017,3.8,29
8536,Revenge of Bigfoot,1979,6.0,13
8537,Taven,2015,3.0,53
8538,A Fugitive from Justice,1940,5.2,101
8539,Private Nurse,1941,6.6,7
8540,Law of the Golden West,1949,6.7,9
8541,419,2012,6.0,38
8542,Messenger,1994,6.9,16
8543,Rose of the Golden West,1927,6.2,6
8544,Deeply Irresponsible,2007,7.5,24
8545,Smoking Laws,2008,8.3,20
8546,Bored in the U.S.A.,2018,5.4,21
8547,While Paris Sleeps,1932,6.8,85
8548,Almaz Black Box,2007,5.8,32
8549,Irving,1995,5.2,13
8550,Every Saturday Night,1936,5.6,12
8551,Far Off,2016,4.8,6
8552,Stick It in Your Ear,1970,5.3,17
8553,Automatic,2005,5.6,114
8554,Happy as the Grass Was Green,1973,6.9,54
8555,Cody Black,2005,3.1,151
8556,The Best of Dr. Seuss,2000,6.8,30
8557,The Iconographer,2008,4.5,10
8558,The Whistle,1921,6.2,49
8559,Phantom Valley,1948,6.3,62
8560,A Gentle Art,2007,5.7,29
8561,Warrior Woman,2011,6.1,19
8562,All About Dad,2009,7.8,41
8563,Storm Over Wyoming,1950,6.3,106
8564,Zigzag,1997,4.8,32
8565,"Turk Diamond, P.I.",2008,8.6,12
8566,Laura,2008,6.1,136
8567,The Deadly Art of Survival,1979,5.3,31
8568,Sister to Judas,1932,6.7,24
8569,A Schizophrenic Love Story,2011,6.3,15
8570,Faces,2017,7.8,8
8571,Sundown Rider,1932,6.5,23
8572,Dangerous Venture,1947,6.9,124
8573,Mental Whiplash,2020,4.6,5
8574,Shamrock Hill,1949,4.1,16
8575,Klondike Fury,1942,3.8,45
8576,Morgan's Cake,1989,5.5,15
8577,The Sheik Steps Out,1937,6.0,28
8578,Discipline,2011,4.4,22
8579,Trails End,1949,7.0,7
8580,The Garden's Keeper,2015,4.6,37
8581,The Gig,2006,6.1,10
8582,Road Rage,2016,8.6,10
8583,Print,2008,7.8,13
8584,Beyond the Purple Hills,1950,6.5,77
8585,Dirty Grandpa: Lessons in Seduction,2016,4.7,24
8586,Sunset Rock,2016,6.2,40
8587,Brooklyn Experience,2018,5.3,9
8588,Gone Harlem,1938,7.8,5
8589,Slaughter Tales,2012,5.0,53
8590,Hidden Gold,1940,6.7,150
8591,Party Husband,1931,6.7,63
8592,Call of the Void,2017,5.4,11
8593,Devil's Knock,2016,6.5,13
8594,The God Complex,2009,6.8,55
8595,Devil's Squadron,1936,6.9,18
8596,The Opera Lover,1999,6.6,99
8597,Chasing Butterflies,2009,4.8,84
8598,A Guy Could Change,1946,5.4,19
8599,Reluctant Hitman,2001,4.0,9
8600,Olympia,1998,7.3,56
8601,Arizona Legion,1939,6.1,69
8602,Guard That Girl,1935,3.3,15
8603,American Mobster,2010,3.4,38
8604,Family Business,1978,8.3,13
8605,Bullet Scars,1942,6.3,143
8606,Priorities on Parade,1942,6.6,18
8607,Decay,1998,5.5,21
8608,Dreamer,2013,7.4,28
8609,Lena Rivers,1932,5.8,59
8610,Beyond the Sacramento,1940,6.3,34
8611,Those High Grey Walls,1939,7.6,11
8612,The Man on Her Mind,2014,4.7,27
8613,Where's Willie?,1978,5.4,54
8614,Dead Punkz,1999,4.8,45
8615,The 13th Alley,2008,6.1,61
8616,Famous Again,1998,4.6,16
8617,The Vice Squad,1931,6.9,68
8618,Genesis,2016,4.0,20
8619,Arizona Frontier,1940,6.8,8
8620,The Pilgrimage Play,1949,5.2,50
8621,Gun Street,1961,4.9,93
8622,Siblings,2009,6.1,23
8623,One Story,2013,5.5,6
8624,Stormy,1935,6.2,21
8625,Present Company Excluded,2015,5.9,19
8626,Jacob Sartorius: Life on the Road,2017,5.0,33
8627,The People,1997,6.1,12
8628,Absinthe,2012,5.9,32
8629,Life Heist,2016,7.9,17
8630,Quaker Oaths,2016,7.3,43
8631,Eadie Was a Lady,1945,6.9,24
8632,Being from Another Planet,2011,6.0,6
8633,Hills of Oklahoma,1950,6.1,31
8634,Almost Human,1927,7.5,338
8635,Lucifer's Angels,2015,4.7,66
8636,Law of the West,1932,5.7,25
8637,American Intellectuals,1999,6.4,26
8638,Bio-Tech Warrior,1996,6.1,32
8639,She Had to Eat,1937,6.3,20
8640,Colorado Kid,1937,5.4,25
8641,Slaves of Hollywood,1998,6.2,44
8642,Tarzan and the Perils of Charity Jones,1971,6.6,28
8643,While New York Sleeps,1938,6.2,45
8644,Oh! You Beautiful 'Doll',1973,5.1,27
8645,Forlorn River,1926,6.1,9
8646,Sunny in the Dark,2015,7.2,24
8647,One Dog Day,1997,7.2,21
8648,Moonlight Sonata,2009,4.0,100
8649,Inbred Rednecks,1998,5.3,95
8650,Skin Deep in Love,1966,4.7,10
8651,Ghost of the Needle,2003,4.6,286
8652,The Return of Rin Tin Tin,1947,6.0,95
8653,Oubliette,2016,4.6,9
8654,Override,2009,4.3,9
8655,The Ship from Shanghai,1930,5.1,101
8656,Amour Infinity,2000,7.4,46
8657,Vicious Thunder,2016,7.9,10
8658,Orbs: They Are Among Us,2013,5.4,36
8659,"Stop It, You're Killing Me",2000,3.5,45
8660,Headin' East,1937,5.8,10
8661,Loon,2017,5.0,57
8662,Snow White,1916,3.7,28
8663,The Jones Family in Borrowing Trouble,1937,6.8,11
8664,Chasing Sunsets,2001,6.6,5
8665,Who Killed John O'Neill?,2005,8.0,35
8666,Dark Streets,1929,5.2,15
8667,Speilburgh,2004,7.1,27
8668,Nothing Good Ever Happens,2016,5.4,77
8669,Marco Polo,2008,5.7,50
8670,Piranha-Man vs. Werewolf Man: Howl of the Piranha,2010,3.5,57
8671,Brian Wilson Presents Smile,2005,8.1,25
8672,Escape the Dark,2017,7.6,7
8673,MVB Films Halloween Horror Stories Vol II,2018,3.6,8
8674,Take-Away Spirit,2009,6.7,6
8675,Blood and Love,2010,5.4,13
8676,Gemini Encounters,1995,5.2,14
8677,Fury Below,1936,5.7,33
8678,Bubba Moon Face,2011,5.8,17
8679,Good Karma Club,2015,6.4,16
8680,One Is Guilty,1934,6.0,12
8681,Virgin Again,2004,5.6,17
8682,The Gay Senorita,1945,6.3,9
8683,Taylor Mead's Ass,1965,6.4,48
8684,X-Gen,2006,7.3,15
8685,A Curry on an American Plate,2017,6.4,28
8686,39 and a Half,2019,7.6,12
8687,Fighting Hero,1934,5.6,13
8688,Misdirected,2004,6.4,15
8689,Saving Borshia,2015,5.7,9
8690,The Kid from Gower Gulch,1950,4.0,25
8691,The Witch Beneath the Sea,1958,6.1,7
8692,Three Word Brand,1921,6.9,27
8693,The Prey,2017,6.7,6
8694,Detective Fiction,2003,6.4,77
8695,Army Bound,1952,5.8,6
8696,The Padre,1911,3.8,10
8697,Bowser Makes a Movie,2005,3.8,141
8698,Beautiful Things,2006,7.2,18
8699,Gun Law,1933,6.4,16
8700,A Woman's Man,1934,5.9,18
8701,Devils Racecourse,2009,3.8,67
8702,Under the Lash,1921,6.8,5
8703,The Grass Eater,1961,7.9,8
8704,Girl of My Dreams,2013,5.2,5
8705,Trilogie De Tragedie,2016,3.2,9
8706,Masked Raiders,1949,6.8,83
8707,The Whitlow House,2018,3.9,59
8708,Captain Kidd,1922,3.6,14
8709,Finding Preet,2006,5.0,52
8710,A Beary Scary Movie,2012,7.2,64
8711,Search for Love Lost,2011,5.2,21
8712,Where Trails End,1942,6.0,17
8713,Ring Girls,2013,3.2,5
8714,Until Death,2002,3.9,47
8715,Superguy: Behind the Cape,2000,6.7,69
8716,Sons of Perdition,2007,5.5,30
8717,Gas House Kids Go West,1947,5.8,32
8718,Pursuit of Loneliness,2012,6.8,30
8719,Get Over It,1995,7.1,17
8720,Keson,2005,2.5,14
8721,Trial Without Jury,1950,6.4,15
8722,Vatos,2002,4.5,67
8723,Starlight & Superfish,2010,7.5,48
8724,Memento Mortis,2015,4.2,20
8725,The French Girl and the Nudists,1963,6.4,16
8726,One Among Us,2005,4.5,65
8727,Thank You,1925,4.6,29
8728,Be Like Trees,2019,8.2,12
8729,Senioritis,2018,7.4,9
8730,Wild Horse Stampede,1943,6.2,65
8731,The Gospel Writers' Autographs,2014,6.5,13
8732,Prairie Roundup,1951,8.0,26
8733,The Screening,2007,5.9,37
8734,Hobo with a Trash Can,2015,5.1,17
8735,Restless Heart,1995,5.5,6
8736,Landrush,1946,6.5,11
8737,A Fool's Advice,1932,5.2,64
8738,Airtight,2014,7.6,14
8739,Blood Demon Rising,2017,4.6,80
8740,PRND,2017,4.1,58
8741,Tapped Out,2003,5.5,35
8742,Truth or Dare,2013,5.9,16
8743,A Measure of the Sin,2013,6.5,74
8744,East of Nowhere,2011,8.3,10
8745,Raving Maniacs,2005,3.8,205
8746,Frames,2012,5.8,21
8747,Ribbons,2016,6.2,31
8748,Little *ucker,2010,6.4,37
8749,"Cyclops, Baby",1997,6.2,25
8750,417 Miles,2016,5.3,7
8751,Mr. Muggs Rides Again,1945,5.2,308
8752,Miss Wonton,2001,7.4,61
8753,Metamorphosis: Junior Year,2017,7.9,8
8754,Raffles: The Amateur Cracksman,1925,5.3,41
8755,Port of 40 Thieves,1944,6.5,38
8756,Fighting Chance,2014,8.6,15
8757,The Dead Can't Dance,2010,5.8,56
8758,Songs and Saddles,1938,4.8,33
8759,Git Along Little Dogies,1937,5.8,125
8760,Hell-ephone,2008,5.8,54
8761,Death Bed,2009,3.5,6
8762,The Initiate,1998,4.5,46
8763,Phantom Ranger,1938,6.2,64
8764,Kukaburra Blues,1998,3.1,14
8765,The Endless Knot,2007,7.6,11
8766,A Morning Light,2015,5.3,22
8767,Sam Hell,2008,6.1,31
8768,The Bad Man,1930,6.2,17
8769,The One Dollar Movie,2012,8.2,62
8770,Since,1966,5.1,10
8771,Terror of the Plains,1934,6.4,28
8772,Jacklight,1995,6.6,28
8773,The Devil-Stone,1917,7.4,7
8774,A Lady's Profession,1933,7.2,29
8775,Society Smugglers,1939,6.4,19
8776,Murder Without Tears,1953,6.0,20
8777,Thrill Kill,2016,7.3,14
8778,Render Me Dead,2009,9.1,8
8779,Behind the Headlines,1937,6.0,160
8780,The Weirdsies,2015,5.2,13
8781,Sweet Kitty Bellairs,1930,5.1,112
8782,The Mouse in The Bread,2018,5.9,10
8783,Bonzo,2013,6.2,6
8784,Florida Bush League Wrestling: The Movie,2017,4.8,10
8785,The Big Brain,1933,5.4,18
8786,Five Days Gone,2010,6.2,9
8787,"Mutantz, Nazis and Zombies",2013,4.6,19
8788,Book of 1000 Deaths,2012,5.1,31
8789,"Hello, Are You There?",2019,5.1,7
8790,State of Bacon,2014,8.0,33
8791,Lang ist der Weg,1949,7.5,33
8792,Hollywood 90028,1973,5.1,24
8793,Star Trek: Operation Beta Shield,2008,5.4,42
8794,Devil's Lottery,1932,6.1,7
8795,Not in My Backyard,2015,8.7,18
8796,Mikael,2015,7.0,23
8797,Best Shots,1990,5.2,9
8798,"Blade Rider, Revenge of the Indian Nations",1966,4.8,23
8799,The Andy Warhol Story,1967,6.9,20
8800,Compromise,2011,7.1,11
8801,The Fighting Gringo,1917,5.0,24
8802,Water Rustlers,1939,4.7,55
8803,Life in Pictures,2016,6.0,7
8804,Breaking the Chain,2007,5.0,8
8805,JJ Cale in Session,2002,8.9,8
8806,Mr. Bones,2007,5.2,15
8807,Apple,1995,5.0,99
8808,The New Year Parade,2008,6.6,114
8809,High Five,2008,6.9,12
8810,Murder Goes to College,1937,6.8,15
8811,Last Call,2002,5.3,14
8812,Johnny Get Your Hair Cut,1927,7.3,7
8813,Vermillion Eyes,1990,6.5,40
8814,The Man Without a Country,1917,6.5,43
8815,Knightquest,2001,7.1,31
8816,The Kid and the Killers,1974,5.3,23
8817,Grim Sweeper,2006,6.8,26
8818,Nothing Against Life,2013,8.2,17
8819,Mannigan's Force,1988,3.8,31
8820,The Tommy Movie,2016,5.1,14
8821,Too Tough to Kill,1935,6.1,21
8822,Rosie O'Donnell: A Heartfelt Standup,2015,5.9,152
8823,Predatory Lender,2014,6.8,20
8824,Road 2 Damascus,2011,7.1,7
8825,Scene Stealers,2004,5.6,53
8826,Forever Yours,1930,4.3,14
8827,The Phantom Plainsmen,1942,7.3,55
8828,A Sensuous Summer,1991,4.1,42
8829,Lady Tubbs,1935,6.5,19
8830,House Arrest,2008,4.8,12
8831,Alias Billy the Kid,1946,7.5,73
8832,The Mine with the Iron Door,1936,5.3,21
8833,Locked,2006,6.6,7
8834,Flirting with Danger,1934,5.0,26
8835,Millionaires in Prison,1940,5.7,149
8836,The Vampire's Tomb,2013,5.6,9
8837,Silver Range,1946,6.1,10
8838,Passkey to Danger,1946,6.0,45
8839,All the Women I've Loved,2011,2.7,16
8840,Boss of Rawhide,1943,5.9,36
8841,The Invisibles,1999,5.2,177
8842,Tarot: A Documentary Love Story,2014,8.5,22
8843,Cemetery Tales: Tales from Morningview Cemetery,2018,4.6,29
8844,The Human Virus,2014,5.0,9
8845,Vagabond,2006,6.6,10
8846,Police Car 17,1933,5.7,12
8847,Loser's End,1935,5.1,36
8848,The Evolution of Andrew Andrews,2012,5.2,96
8849,Blondie's Big Moment,1947,6.7,136
8850,Off the Grid,2011,6.3,29
8851,Danger in the Pacific,1942,5.0,20
8852,Black and Blue,2005,7.9,23
8853,Banished,2007,6.9,31
8854,Paris Interlude,1934,5.9,113
8855,The Burnt House,2009,4.9,78
8856,Horrible Accident,2001,7.0,18
8857,Western Frontier,1935,5.9,11
8858,Wolves of Kultur,1918,5.9,24
8859,Destiny,2002,7.0,20
8860,The Henchman's War,2012,5.7,47
8861,Only Interstellar Pinball Lives Forever,2010,5.8,6
8862,Black Market Babies,1945,5.8,24
8863,The Courageous Dr. Christian,1940,6.0,60
8864,Curse of Alcatraz,2007,2.5,456
8865,Uwharrie,2012,4.3,51
8866,Collapse,2013,7.3,10
8867,Big Business,1937,5.7,21
8868,The Best Movie Ever,2008,6.1,7
8869,Mountain Justice,1930,5.2,14
8870,The Feature,2008,6.4,39
8871,Under Age,1964,3.6,16
8872,Zooey,2006,6.1,59
8873,Cowboy Holiday,1934,4.8,43
8874,B.R.O.O.D.,2013,6.0,10
8875,Brown Soup Thing,2008,7.1,10
8876,Detective Lloyd,1932,3.4,24
8877,Cornhole: The Movie,2010,7.9,28
8878,Where Angels Dance,1994,7.1,7
8879,Joe Palooka in The Counterpunch,1949,6.1,13
8880,The New World Horror,2018,7.0,11
8881,Death to the World,2014,5.3,12
8882,Clown Shank,2014,5.0,9
8883,Summer of My Discontent,2018,6.4,7
8884,Superman and the Jungle Devil,1954,6.3,40
8885,Stragglers,2004,3.0,66
8886,Heaven Strewn,2011,3.0,199
8887,Welcome to Pine Hill,2012,6.2,219
8888,Sailor's Holiday,1929,5.7,20
8889,Sweet Ninja Brown,2010,8.3,45
8890,Betaville,2001,3.0,40
8891,Youth on Parole,1937,6.5,55
8892,Via Dolorosa,2000,7.5,46
8893,Chasing Trouble,1940,5.3,72
8894,West of Wyoming,1950,5.6,16
8895,Return of the Jackalope,2006,5.3,82
8896,Lulu,1978,6.0,28
8897,Bad Girls for the Boys,1966,3.6,14
8898,Six-Gun Rhythm,1939,5.6,37
8899,Sandpaper,2018,6.7,10
8900,Bestia de Cardo,2015,6.5,29
8901,Girls of the Road,1940,6.0,135
8902,Home of Angels,1995,6.2,19
8903,The Thoroughbred,1930,4.7,16
8904,Passion Holiday,1963,6.0,8
8905,Kingston High,2002,5.4,57
8906,A Tornado in the Saddle,1942,4.9,33
8907,Country Gentlemen,1936,5.2,109
8908,The Watcher,1978,8.2,13
8909,Outlaw Prophet,2001,3.0,108
8910,Found Footage Festival Volume 4: Live in Tucson,2009,7.7,19
8911,The Flame Fighter,1925,6.1,11
8912,Midnight Taxi,1937,6.2,39
8913,Two in Revolt,1936,5.9,52
8914,Danger Trails,1935,6.2,13
8915,Kid Courageous,1934,5.8,18
8916,Outcall,2014,2.4,20
8917,"Hello, My Name Is Charlie",2009,8.4,17
8918,The Old Wyoming Trail,1937,7.2,11
8919,The Idle Rich,1929,5.9,115
8920,Crude,2003,5.7,62
8921,Paroled,2007,6.9,21
8922,One Man Law,1932,5.7,16
8923,States of Control,1997,6.1,25
8924,The Way of Snow,2008,8.3,11
8925,Five Years Later,2010,7.7,7
8926,Moonlight on the Range,1937,5.9,11
8927,Lez Be Friends,2007,5.2,8
8928,A Yank in Indo-China,1952,6.2,15
8929,The Red Suit,2014,6.3,41
8930,The Murder Men,1961,6.4,18
8931,The Outlaw Deputy,1935,7.0,12
8932,Texas Trouble Shooters,1942,6.6,40
8933,Halloween House Party,2005,5.4,15
8934,Attack of the Alien Jelly Monsters from the Depths of Uranus,2011,4.6,8
8935,Wild Horse Rodeo,1937,7.3,24
8936,The Boy Who Talks to Whales,1975,5.7,10
8937,Street Playerz,2009,4.8,32
8938,Penguin League,2019,3.8,107
8939,Time Device,2016,2.6,11
8940,The Tailor's Apprentice,2014,5.6,33
8941,Macbeth in Manhattan,1999,5.4,107
8942,Undocumented Executive,2012,6.9,127
8943,I Love a Bandleader,1945,6.0,33
8944,Aguruphobia,2015,7.9,26
8945,On Their Own,1940,6.9,8
8946,Slaughter Weekend,2010,4.8,18
8947,Mission Hill,1982,4.9,43
8948,The Silver Trail,1937,5.3,52
8949,Life on Mars,2006,6.1,19
8950,The Urn,2008,5.5,8
8951,Game of the Year,2009,8.1,7
8952,Thundering Speed,1926,5.1,7
8953,Get Dead,2014,4.3,42
8954,Prodigal Daughters,1923,7.0,11
8955,Coffee Shop,2008,8.0,9
8956,Shining Water,2007,6.9,53
8957,Hollis,2015,7.9,17
8958,Baby Luv,2000,5.6,10
8959,Painting Life,2018,6.3,7
8960,Carjack,1993,4.4,8
8961,Transient Lady,1935,5.7,18
8962,"Joseph: Beloved Son, Rejected Slave, Exalted Ruler",2015,6.3,7
8963,To Say Goodbye,2014,6.3,32
8964,A Lousy 10 Grand,2004,6.1,27
8965,Strange Wilderness,1997,6.9,8
8966,Night Beat,1931,5.7,38
8967,The Shadow Behind You,2015,3.6,54
8968,Shark School,2019,2.7,9
8969,The World's Greatest Fair,2004,8.6,44
8970,Addicts,2009,6.7,22
8971,Cats Kill,2017,2.9,59
8972,Hawthorne of the U.S.A.,1919,4.0,367
8973,All That I Have,1951,6.5,14
8974,Urban Myths,2015,3.8,16
8975,Propensity,2006,6.5,26
8976,Niko: Journey to Magika,2014,7.6,79
8977,The Ufologist,2014,6.8,38
8978,Failing Grace,2018,8.0,5
8979,Marked Men,1919,4.7,32
8980,Wait Wait Don't Tell Me Live!,2013,9.0,7
8981,My Name Is Vivienne,2014,8.6,21
8982,The Heart of a Siren,1925,6.3,9
8983,Hell-O-Ween,2011,6.4,13
8984,King Monster,1976,5.2,11
8985,R.E.D.D.,2015,6.6,14
8986,What Goes Around,2008,5.2,6
8987,Linda,1929,7.0,98
8988,Solstice,1993,5.6,45
8989,Four Days Wonder,1936,5.9,8
8990,Junkbucket,2008,5.1,45
8991,Let's Kill All the Lawyers,1992,4.5,15
8992,Captain Tugboat Annie,1945,6.4,17
8993,The P.O.W.,1973,7.8,8
8994,Sometimes in Life,2008,5.9,74
8995,On Again-Off Again,1937,6.1,98
8996,Loser's Crown,2014,8.7,15
8997,Ghost City,1932,5.7,10
8998,Camp Winoaka,2006,7.8,13
8999,Swingtime Johnny,1943,6.7,23
9000,The Phantom Riders,1918,4.6,28
9001,The Ceremony,2008,6.0,184
9002,The Escape,1914,5.9,16
9003,The Visitor from Planet Omicron,2013,5.6,50
9004,Unexpected Father,1939,5.4,7
9005,Abandoned in the Dark,2014,5.8,91
9006,God Forgive Us,2014,6.9,50
9007,Manifesto,2015,5.0,7
9008,Queen of the Yukon,1940,6.0,50
9009,Private Relations,1968,4.1,7
9010,Rough Riding Ranger,1935,5.1,30
9011,Motherhood: Life's Greatest Miracle,1925,5.9,66
9012,L.A. Nights,2011,8.2,19
9013,The Clean Up Woman,2010,5.8,36
9014,Prison Break-In,2015,7.9,15
9015,2090,1996,5.9,26
9016,Lift,1997,5.7,59
9017,Pizza Wars: The Movie,2002,5.0,25
9018,Operation Haylift,1950,5.5,40
9019,Mike Case in: The Big Kiss Off,2013,6.8,255
9020,After Midnight,1927,7.0,62
9021,The Unwritten Code,1944,6.3,25
9022,Backroad,2012,4.8,52
9023,Moonshine Kingdom,2013,5.6,9
9024,Apparition,2010,3.2,34
9025,West of Sonora,1948,6.4,18
9026,Karpenter,2017,3.2,61
9027,The Price,2011,7.1,31
9028,Irish Whiskey,1997,5.8,44
9029,The Texas Rambler,1935,5.0,17
9030,"Attack of the Psychedelic Zombies, Man!",2015,6.0,6
9031,Scalpers,2009,7.3,11
9032,Remnants,2013,5.9,7
9033,Bloodbath in Creightonville,2012,5.2,15
9034,Hellscreen,2016,5.0,6
9035,Simply Red: Live at Montreux 2003,2012,7.6,7
9036,Spoilers of the West,1927,6.1,8
9037,Campus Rhythm,1943,5.5,102
9038,The Legend of Action Man,2010,6.7,21
9039,Voice in the Night,1934,5.8,13
9040,Regenerated Man,1994,3.8,101
9041,On Such a Night,1937,6.4,8
9042,The Olive Harvest,2003,7.0,23
9043,Zelimo,2001,6.0,28
9044,Sacrifice,2010,5.9,47
9045,Salvation Nell,1931,7.0,16
9046,Outta Sync,2006,7.8,18
9047,The Fifth,2010,4.6,25
9048,The Keyman,2001,5.2,110
9049,"White Lies, Black Sheep",2007,7.5,26
9050,Dead Start,2009,3.7,7
9051,The Skyjacker,2008,6.9,38
9052,Making Contact,1999,7.4,11
9053,Lethal Nightmare,1991,5.4,11
9054,Becoming Eduardo,2009,7.1,28
9055,Policy Man,1938,6.3,6
9056,Cabin Crew,2017,8.3,11
9057,Lost at Sea,1995,7.2,23
9058,The Devil Lives in Hot Springs,2008,6.3,6
9059,Before They Were Cowboys,2016,7.2,8
9060,Getting Together,1976,4.3,38
9061,Float,2007,8.7,9
9062,Wig'd Out,2016,7.5,15
9063,The Secret Door,1964,4.7,6
9064,Moment of Truth,2017,4.6,19
9065,Free Ride,2017,7.9,9
9066,The Lone Rider,1930,6.5,25
9067,"Hey, Abbott!",1978,8.0,31
9068,Underbelly,2013,7.7,19
9069,"Jesse James, Jr.",1942,5.4,19
9070,Voyage of the Heart,1989,6.1,8
9071,The Shriek of Araby,1923,5.8,27
9072,The Telephone Game,2015,5.8,12
9073,Man and Beast,1917,5.0,7
9074,State Penitentiary,1950,6.2,64
9075,Ocean Drive Weekend,1985,5.5,73
9076,Stand Up: Muslim-American Comics Come of Age,2009,6.9,31
9077,"Benyovszky, the rebel count",2015,3.2,6
9078,Lone Texas Ranger,1945,7.0,37
9079,June Cabin,2007,1.8,259
9080,Rock River Renegades,1942,6.5,55
9081,107 Street,2004,5.8,14
9082,A Study in Gravity,2013,8.0,23
9083,The Flaming Signal,1933,4.0,31
9084,Santa Claus Versus the Zombies,2010,2.8,138
9085,The Experiment,2018,7.3,7
9086,The Blind,2009,7.2,13
9087,Midnight Shadow,1939,3.6,157
9088,Numbered Woman,1938,5.1,17
9089,Simba Junior Goes to New York,1997,3.6,7
9090,The Watchman's Edict,2017,5.8,19
9091,Taylor Swift: American Beauty,2012,5.5,19
9092,Jimmy Part 1 Did You Get One?,2015,3.4,11
9093,Home in Wyomin',1942,6.7,61
9094,Dying 2 Meet U,2012,6.2,79
9095,He Knew Women,1930,4.8,50
9096,Back to Nature,1936,6.3,15
9097,My Boo,2013,3.5,32
9098,Ladies Love Danger,1935,5.5,19
9099,A Sudden Loss of Gravity,2000,5.9,50
9100,His Neighbor's Wife,1913,5.7,10
9101,Turnaround,1998,4.8,8
